team,elo
Real Madrid,1871.66036716973
Barcelona,1807.8891770196515
Ath Madrid,1743.128701559867
Villarreal,1728.741681158435
Betis,1653.723841488254
Ath Bilbao,1652.7753324497262
Celta,1580.3260245415513
Espanol,1578.9846079983731
Vallecano,1577.644660810669
Osasuna,1561.2564801146243
Elche,1537.5240946795598
Valencia,1536.6714697421405
Alaves,1536.548255116988
Sociedad,1521.3407014169481
Getafe,1517.439135088801
Leganes,1515.5913407945843
Sevilla,1513.5160308472723
Mallorca,1509.5583668934833
Girona,1497.989012242694
Levante,1490.4560434411192
Huesca,1487.4765678986798
Xerez,1474.971984754587
Cadiz,1470.9193699753998
Oviedo,1464.3218295576066
Tenerife,1454.344485131792
Sp Gijon,1452.9240578883903
Eibar,1446.5262508612805
La Coruna,1434.0453924965293
Zaragoza,1423.009410839013
Hercules,1419.0271830903393
Las Palmas,1410.5989332119616
Albacete,1396.5549847568366
Almeria,1396.4537869202766
Numancia,1394.791449387797
Gimnastic,1393.354049446497
Recreativo,1392.9478835976618
Santander,1382.6536035913966
Murcia,1379.035849403319
Malaga,1376.4895393136446
Granada,1375.211324169935
Cordoba,1334.6245498290295
Valladolid,1306.952189303554
