Team,Elo
Real Madrid,1857.2909457573094
Barcelona,1810.3416094272345
Ath Madrid,1741.1629708667012
Villarreal,1727.3459993089816
Betis,1654.2871320816155
Ath Bilbao,1649.5334983132095
Vallecano,1585.128268362462
Celta,1574.0880252617849
Espanol,1568.6966593489676
Osasuna,1557.9213362758335
Valencia,1538.9829517954504
Elche,1536.2307470713395
Alaves,1532.7664114059028
Getafe,1530.1032919512602
Sociedad,1517.3956271443728
Leganes,1515.9808222152026
Sevilla,1515.97747538352
Levante,1512.6348466276272
Mallorca,1512.4460473220977
Huesca,1479.496273674033
Xerez,1476.6605666121561
Cadiz,1475.919381173623
Girona,1472.1045359825428
Oviedo,1469.143183761865
Tenerife,1458.7690934932732
Eibar,1447.9709551431797
Sp Gijon,1447.1197014469387
La Coruna,1433.8385332965452
Zaragoza,1424.745744601095
Hercules,1413.2592104509206
Las Palmas,1410.0694801887073
Albacete,1399.2536187045985
Recreativo,1399.1653281205959
Almeria,1396.506592486038
Gimnastic,1395.024870025235
Numancia,1392.566861168715
Santander,1384.6819837070009
Malaga,1382.1174179566524
Murcia,1377.052080746351
Granada,1375.157481294311
Cordoba,1344.642056122536
Valladolid,1306.4203839222107
